"Genotype" "predicted.value" "standard.error" "est.status"
"100" "F097" 0.435530870683216 0.0541326063877813 "Estimable"
"101" "F098" 0.251470830198891 0.0541370347273109 "Estimable"
"102" "F099" 0.42791573120264 0.0541261692474613 "Estimable"
"103" "F100" 0.354945463473962 0.0541157896635674 "Estimable"
"104" "F101" 0.384421037856544 0.0541236156118785 "Estimable"
"105" "F102" 0.320064516810393 0.0541194279921252 "Estimable"
"106" "F103" 0.339510724924639 0.0541190986450403 "Estimable"
"107" "F104" 0.342219988029165 0.054124067515342 "Estimable"
"108" "F105" 0.414581038670761 0.0541414099700919 "Estimable"
"109" "F106" 0.832480809421422 0.0541245548886142 "Estimable"
"110" "F107" 0.255284573282213 0.0541319451719738 "Estimable"
"111" "F108" 0.279924397857746 0.0541196922575136 "Estimable"
"112" "F109" 0.378990482422261 0.0541195097755312 "Estimable"
"113" "F110" 0.301438026121045 0.0541340648043047 "Estimable"
"114" "F111" 0.326827393425617 0.0541378593695677 "Estimable"
"115" "F112" 0.419924576763695 0.0541373615657263 "Estimable"
"116" "F113" 0.249035813896102 0.0541362578428482 "Estimable"
"117" "F114" 0.279412679509314 0.0541210958954166 "Estimable"
"118" "F115" 0.256249926999986 0.0541128824947735 "Estimable"
"119" "F116" 0.330436426347141 0.0541127269200499 "Estimable"
"120" "F117" 0.243186142960405 0.0541191062488282 "Estimable"
"121" "F118" 0.382657242430703 0.0541317444270255 "Estimable"
"122" "F119" 0.316106567730874 0.0541610551808489 "Estimable"
"123" "F120" 0.343372622772072 0.0541320912541607 "Estimable"
"124" "F1F001M001" 0.318799367655155 0.0541253347819859 "Estimable"
"125" "F1F001M002" 0.414142567343626 0.0541131317909447 "Estimable"
"126" "F1F001M003" 0.296507149815851 0.0541191883788138 "Estimable"
"127" "F1F001M004" 0.404912397893927 0.0541208346504553 "Estimable"
"128" "F1F001M005" 0.427506535178412 0.0541194146202568 "Estimable"
"129" "F1F001M006" 0.405055990202949 0.0541189099603769 "Estimable"
"130" "F1F001M007" 0.444855801984995 0.0541233743822375 "Estimable"
"131" "F1F001M008" 0.364232504042671 0.0541313768024676 "Estimable"
"132" "F1F001M009" 0.632177698577583 0.054124457575345 "Estimable"
"133" "F1F001M010" 0.500714401986828 0.0541260821148571 "Estimable"
"134" "F1F001M011" 0.495318454894411 0.0541200840109733 "Estimable"
"135" "F1F001M012" 0.439806704429433 0.0541366381409496 "Estimable"
"136" "F1F001M013" 0.314254735653227 0.0541320693207642 "Estimable"
"137" "F1F001M014" 0.254004142100801 0.0541261803557955 "Estimable"
"138" "F1F001M015" 0.348016664308727 0.0541264112308164 "Estimable"
"139" "F1F002M001" 0.332920202787883 0.0541255650210657 "Estimable"
"140" "F1F002M002" 0.345692465657928 0.0541389815818233 "Estimable"
"141" "F1F002M003" 0.27353321241687 0.0541266561829165 "Estimable"
"142" "F1F002M004" 0.280726708280233 0.0541195174070762 "Estimable"
"143" "F1F002M005" 0.298062200786346 0.0541370368823187 "Estimable"
"144" "F1F002M006" 0.317098638477776 0.0541253516242519 "Estimable"
"145" "F1F002M007" 0.45177476950698 0.0541139472298947 "Estimable"
"146" "F1F002M008" 0.361938803830964 0.0541257576900588 "Estimable"
"147" "F1F002M009" 0.41104407498491 0.0541320504014149 "Estimable"
"148" "F1F002M010" 0.398788766540553 0.054143732615499 "Estimable"
"149" "F1F002M011" 0.358510833504885 0.0541137133772438 "Estimable"
"150" "F1F002M012" 0.373584406869822 0.0541248534079171 "Estimable"
"151" "F1F002M013" 0.285580317307887 0.0541322592475181 "Estimable"
"152" "F1F002M014" 0.369419882335282 0.0541290995555655 "Estimable"
"153" "F1F002M015" 0.25090620454962 0.0541315940918217 "Estimable"
"154" "F1F003M001" 0.285065792295881 0.0660547995519174 "Estimable"
"155" "F1F003M002" 0.229292608968282 0.0660590213399495 "Estimable"
"156" "F1F003M003" 0.273839284040965 0.0660648354766474 "Estimable"
"157" "F1F003M004" 0.229891263246783 0.065999699205594 "Estimable"
"158" "F1F003M005" 0.337037459996528 0.0660006591315757 "Estimable"
"159" "F1F003M006" 0.308038489038431 0.0660585316375712 "Estimable"
